"iNaturalist taxon name","iNaturalist taxon ID","Taxon name","nameStatus","Common name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date observed","Description","Place name","Recorded by","Event Remarks","coordinateUncertaintyInMeters","Individual count","Depth","Catalog Number","Confidence","Field number","Coordinates Corrected","Coordinates Corrected Note","Captive/Cultivated","Quality grade","STATE","CLASS","SUB_CLASS","COMMENT","Community","LABEL","LABEL_LAB","LEGEND_LAB","Rank"
"Pileolaria",353085,"Pileolaria spp.","accepted","dwarf calcareous worm","Fungi","Basidiomycota","Pucciniomycotina",,"Pucciniomycetes",,,"Pucciniales","Uredinineae",,,"Pileolariaceae",,,"Pileolaria",,"PMLS:2675",48.94167,-123.51333,1996-09-29 14:37:00,,"Retreat Cove, north of","Charlie Gibbs",,,,58,,,,,,,,"Natural","MAR",,,"Forests","Subtidal","Subtidal",,"genus"
"Lilium columbianum",77744,"Lilium columbianum","accepted","Columbia lily","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Liliales",,,,"Liliaceae","Lilioideae","Lilieae","Lilium","columbianum","iNat:2570696",48.941265,-123.497615,2013-06-05,,,,,243,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Monotropa uniflora",49477,"Monotropa uniflora","accepted","Ghost Pipe","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Ericales",,,,"Ericaceae","Monotropoideae",,"Monotropa","uniflora","iNat:2583316",48.948328,-123.50365,2013-07-20,,,,,34,,,,,,,,FALSE,"research","Natural","MF","mx","examples of Cw Vanilla leaf plant community","Forests","Mature mixed forest",,"Mature Forest","species"
"Urtica",51886,"Urtica","accepted","nettles","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Urticaceae",,,"Urtica",,"iNat:2583441",48.950515,-123.509567,2013-04-17,,,,,134,,,,,,,,FALSE,"needs_id","Modified","RH","st","variable retention logging (real estate)","Forests","Clearcut, variable retention",,"Clearcut","genus"
"Ovis aries",121578,"Ovis aries","accepted","Domestic Sheep","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia",,,"Bovidae","Antilopinae","Caprini","Ovis","aries","iNat:2608791",48.939979,-123.491392,2015-03-21,,,"Lauren Magner",,48,,,,,,,,TRUE,"casual","Modified","YF","mx",,"Forests","Young mixed forest",,"Young Forest","species"
"Brassicoideae",1473853,"Brassicoideae","accepted",,"Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Brassicales",,,,"Brassicaceae","Brassicoideae",,,,"iNat:2692226",48.942381,-123.501134,2016-02-16,,,"Andrew Simon",,33,,,,,,,,FALSE,"needs_id","Modified","YF","co",,"Forests","Young conifer forest",,"Young Forest","subfamily"
"Hypogymnia enteromorpha",222048,"Hypogymnia enteromorpha","accepted","Budding Tube Lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Hypogymnia","enteromorpha","iNat:2819286",48.950921,-123.515596,2016-03-22,,,"Andrew Simon",,240,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Tuckermanopsis orbata",813868,"Tuckermanopsis orbata","accepted","variable wrinkle-lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Tuckermanopsis","orbata","iNat:2819309",48.950921,-123.515596,2016-03-22,,,"Andrew Simon",,240,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Hypogymnia imshaugii",179042,"Hypogymnia imshaugii","accepted","Imshaug's Tube Lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Hypogymnia","imshaugii","iNat:2819332",48.950921,-123.515596,2016-03-22,,,"Andrew Simon",,240,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Taxus brevifolia",55209,"Taxus brevifolia","accepted","Pacific yew","Plantae","Tracheophyta",,,"Pinopsida",,,"Pinales",,,,"Taxaceae",,,"Taxus","brevifolia","iNat:2819414",48.95047,-123.514566,2016-03-22,,,"Andrew Simon",,87,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
