id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage,taxonName
48460,,Life,life,stateofmatter,https://static.inaturalist.org/photos/5011941/medium.jpg,
1,48460,Animalia,Animals,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/80678745/medium.jpg,
47126,48460,Plantae,plants,kingdom,https://static.inaturalist.org/photos/221143410/medium.jpeg,
47170,48460,Fungi,Fungi Including Lichens,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/260296784/medium.jpg,
47686,48460,Protozoa,protozoans,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/176600140/medium.jpg,
48222,48460,Chromista,"kelp, diatoms, and allies",kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/131300/medium.jpg,
2,1,Chordata,Chordates,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/80551845/medium.jpg,
47115,1,Mollusca,Molluscs,phylum,https://static.inaturalist.org/photos/58051104/medium.jpg,
47120,1,Arthropoda,Arthropods,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/92982075/medium.jpg,
47169,47170,Basidiomycota,Basidiomycete Fungi,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/160331738/medium.jpg,
47491,1,Annelida,Segmented Worms,phylum,https://static.inaturalist.org/photos/45924362/medium.jpg,
47534,1,Cnidaria,Cnidarians,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/4118/medium.jpg,
47549,1,Echinodermata,Echinoderms,phylum,https://static.inaturalist.org/photos/22930217/medium.jpg,
47685,47686,Mycetozoa,slime molds,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/326930791/medium.jpg,
48221,48222,Ochrophyta,,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/41475016/medium.jpg,
48250,47170,Ascomycota,Ascomycete Fungi,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/4896433/medium.jpg,
48824,1,Porifera,Sponges,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/117290419/medium.jpg,
50863,47126,Chlorophyta,green algae,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/57757074/medium.jpg,
51280,1,Nemertea,Ribbon Worms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/4114/medium.jpg,
51508,1,Ctenophora,Comb Jellies,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/12707464/medium.jpg,
52319,1,Platyhelminthes,Flatworms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/6308/medium.jpg,
57774,47126,Rhodophyta,red algae,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/28834665/medium.jpeg,
64615,47126,Marchantiophyta,liverworts,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/5466/medium.jpg,
68104,1,Bryozoa,Bryozoans,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/42469840/medium.jpg,
122158,1,Brachiopoda,Brachiopods,phylum,https://static.inaturalist.org/photos/1394736/medium.JPG,
211194,47126,Tracheophyta,vascular plants,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/78650848/medium.jpeg,
311249,47126,Bryophyta,mosses,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/3180282/medium.JPG,
311313,47126,Charophyta,charophyte algae,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/15816635/medium.jpg,
47114,47115,Gastropoda,Gastropods,class,https://inaturalist-open-data.s3.amazonaws.com/photos/1166551/medium.jpg,
47125,211194,Angiospermae,flowering plants,subphylum,https://inaturalist-open-data.s3.amazonaws.com/photos/6943609/medium.jpg,
47429,47115,Polyplacophora,Chitons,class,https://static.inaturalist.org/photos/8111603/medium.jpg,
47459,47115,Cephalopoda,Cephalopods,class,https://inaturalist-open-data.s3.amazonaws.com/photos/32158737/medium.jpg,
47490,47491,Polychaeta,Polychaete Worms,class,https://static.inaturalist.org/photos/12387857/medium.jpg,
47533,47534,Anthozoa,Sea Anemones and Corals,class,https://inaturalist-open-data.s3.amazonaws.com/photos/4440362/medium.jpg,
47584,47115,Bivalvia,Bivalves,class,https://inaturalist-open-data.s3.amazonaws.com/photos/43139115/medium.jpeg,
47623,211194,Lycopodiopsida,lycophytes,class,https://inaturalist-open-data.s3.amazonaws.com/photos/6124489/medium.jpeg,
47684,47685,Myxomycetes,true slime molds,class,https://inaturalist-open-data.s3.amazonaws.com/photos/176600140/medium.jpg,
48220,48221,Phaeophyceae,brown algae,class,https://inaturalist-open-data.s3.amazonaws.com/photos/41475016/medium.jpg,
