iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Phylum,observationId,Latitude,Longitude,Date observed,Recorded by,Community
Metridium senile,49071,Metridium senile,Cnidaria,PMLS:13,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Balanophyllia elegans,51799,Balanophyllia elegans,Cnidaria,PMLS:14,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Ptilosarcus gurneyi,448320,Ptilosarcus gurneyi,Cnidaria,PMLS:15,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Serpula columbiana,131207,Serpula columbiana,Annelida,PMLS:16,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Dodecaceria pacifica,1500739,Dodecaceria fewkesi,Annelida,PMLS:17,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Eudistylia vancouveri,84864,Eudistylia vancouveri,Annelida,PMLS:18,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Schizobranchia insignis,339561,Schizobranchia insignis,Annelida,PMLS:19,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Chlamys,84497,Chlamys sp.,Mollusca,PMLS:20,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Crassadoma gigantea,54526,Crassadoma gigantea,Mollusca,PMLS:21,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Diodora aspera,64148,Diodora aspera,Mollusca,PMLS:22,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Nucella lamellosa,117641,Nucella lamellosa,Mollusca,PMLS:23,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Peltodoris nobilis,48450,Peltodoris nobilis,Mollusca,PMLS:24,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Doris montereyensis,47469,Doris montereyensis,Mollusca,PMLS:25,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
